"ID","Description","Product","Source"
HG02070,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01849,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01874,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01599,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02525,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02015,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01872,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02121,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02083,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02078,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02128,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02045,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02087,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02027,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01846,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02113,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02088,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02126,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02140,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02086,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02023,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01843,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02081,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01865,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01597,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01873,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02085,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02139,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01847,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02073,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02524,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01848,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02079,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02133,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02028,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01869,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02523,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02035,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02137,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02071,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02029,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01842,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02138,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02116,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02084,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02068,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02080,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01867,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02025,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02120,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01844,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01850,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02136,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02075,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01857,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01855,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02077,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02016,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01866,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02024,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02522,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02048,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02026,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02130,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01861,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01596,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02047,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02129,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01841,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02060,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01863,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02134,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02059,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02046,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02067,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02020,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01878,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02526,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02072,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01864,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01870,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02512,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02069,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01871,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02141,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02082,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02074,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01860,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02049,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02056,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02135,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01859,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01845,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02142,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02132,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02122,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01868,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02019,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01858,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02127,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02032,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02017,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02513,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02057,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02040,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02521,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02050,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02031,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01853,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02061,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01840,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02131,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01851,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02030,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02058,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01595,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02018,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01598,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02064,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01600,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02514,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01862,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG01852,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
HG02076,"KINH IN HO CHI MINH CITY, VIETNAM",LCL,B-Lymphocyte
